benchmarks/schuppan/O2formula/O2formula80.negated,0.012,0.054,0.066,sat
benchmarks/schuppan/O2formula/O2formula300.negated,0.008,0.53,0.538,sat
benchmarks/schuppan/O2formula/O2formula5.negated,0.019,0.009,0.028,sat
benchmarks/schuppan/O2formula/O2formula2.negated,0.004,0.009,0.013,sat
benchmarks/schuppan/O2formula/O2formula3,0.005,0.027,0.032,unsat
benchmarks/schuppan/O2formula/O2formula9,0.023,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula800,0.015,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula500.negated,0.012,0.981,0.993,sat
benchmarks/schuppan/O2formula/O2formula70.negated,0.016,0.035,0.051,sat
benchmarks/schuppan/O2formula/O2formula50.negated,0.005,0.023,0.028,sat
benchmarks/schuppan/O2formula/O2formula600,0.028,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula700.negated,0.014,2.004,2.018,sat
benchmarks/schuppan/O2formula/O2formula9.negated,0.006,0.011,0.017,sat
benchmarks/schuppan/O2formula/O2formula700,0.03,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula6,0.005,2.53,2.535,unsat
benchmarks/schuppan/O2formula/O2formula40,0.005,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula300,0.009,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula400,0.021,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula10,0.005,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula900,0.016,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula50,0.006,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula200.negated,0.007,0.182,0.189,sat
benchmarks/schuppan/O2formula/O2formula1000.negated,0.029,4.689,4.718,sat
benchmarks/schuppan/O2formula/O2formula100,0.005,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula500,0.023,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula20,0.02,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula90.negated,0.006,0.048,0.054,sat
benchmarks/schuppan/O2formula/O2formula4.negated,0.006,0.01,0.016,sat
benchmarks/schuppan/O2formula/O2formula60.negated,0.005,0.036,0.041,sat
benchmarks/schuppan/O2formula/O2formula6.negated,0.024,0.01,0.034,sat
benchmarks/schuppan/O2formula/O2formula8,0.021,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula900.negated,0.034,2.784,2.818,sat
benchmarks/schuppan/O2formula/O2formula4,0.005,0.049,0.054,unsat
benchmarks/schuppan/O2formula/O2formula60,0.005,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula30,0.005,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula7,0.024,19.344,19.368,unsat
benchmarks/schuppan/O2formula/O2formula5,0.021,0.407,0.428,unsat
benchmarks/schuppan/O2formula/O2formula100.negated,0.005,0.055,0.06,sat
benchmarks/schuppan/O2formula/O2formula800.negated,0.035,2.36,2.395,sat
benchmarks/schuppan/O2formula/O2formula3.negated,0.004,0.01,0.014,sat
benchmarks/schuppan/O2formula/O2formula2,0.004,0.013,0.017,unsat
benchmarks/schuppan/O2formula/O2formula70,0.021,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula400.negated,0.018,0.678,0.696,sat
benchmarks/schuppan/O2formula/O2formula7.negated,0.018,0.011,0.029,sat
benchmarks/schuppan/O2formula/O2formula600.negated,0.012,1.342,1.354,sat
benchmarks/schuppan/O2formula/O2formula1000,0.034,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula8.negated,0.005,0.011,0.016,sat
benchmarks/schuppan/O2formula/O2formula90,0.014,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula40.negated,0.005,0.026,0.031,sat
benchmarks/schuppan/O2formula/O2formula30.negated,0.022,0.017,0.039,sat
benchmarks/schuppan/O2formula/O2formula80,0.021,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula10.negated,0.021,0.01,0.031,sat
benchmarks/schuppan/O2formula/O2formula20.negated,0.004,0.013,0.017,sat
benchmarks/schuppan/O2formula/O2formula200,0.006,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_100_99.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_20_19,0.018,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_3_2.negated,0.004,0.009,0.013,sat
benchmarks/schuppan/phltl/phltl_60_59.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_6_5.negated,0.004,0.011,0.015,sat
benchmarks/schuppan/phltl/phltl_2_1.negated,0.019,0.008,0.027,sat
benchmarks/schuppan/phltl/phltl_2_1,0.004,0.016,0.02,unsat
benchmarks/schuppan/phltl/phltl_7_6.negated,0.006,0.012,0.018,sat
benchmarks/schuppan/phltl/phltl_70_69,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_3_2,0.004,0.047,0.051,unsat
benchmarks/schuppan/phltl/phltl_90_89.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_8_7.negated,0.005,0.012,0.017,sat
benchmarks/schuppan/phltl/phltl_40_39,0.036,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_100_99,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_30_29.negated,0.029,0.08,0.109,sat
benchmarks/schuppan/phltl/phltl_50_49.negated,0.022,0.265,0.287,sat
benchmarks/schuppan/phltl/phltl_8_7,0.008,23.211,23.219,unsat
benchmarks/schuppan/phltl/phltl_90_89,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_4_3,0.004,0.196,0.2,unsat
benchmarks/schuppan/phltl/phltl_5_4,0.004,0.808,0.812,unsat
benchmarks/schuppan/phltl/phltl_4_3.negated,0.015,0.011,0.026,sat
benchmarks/schuppan/phltl/phltl_50_49,0.033,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_80_79.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_5_4.negated,0.023,0.01,0.033,sat
benchmarks/schuppan/phltl/phltl_60_59,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_9_8,0.024,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_10_9.negated,0.005,0.014,0.019,sat
benchmarks/schuppan/phltl/phltl_6_5,0.019,2.68,2.699,unsat
benchmarks/schuppan/phltl/phltl_9_8.negated,0.019,0.013,0.032,sat
benchmarks/schuppan/phltl/phltl_10_9,0.005,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_7_6,0.026,8.854,8.88,unsat
benchmarks/schuppan/phltl/phltl_70_69.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_20_19.negated,0.024,0.038,0.062,sat
benchmarks/schuppan/phltl/phltl_80_79,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_40_39.negated,0.016,0.15,0.166,sat
benchmarks/schuppan/phltl/phltl_30_29,0.017,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula10,0.023,0.007,0.03,unsat
benchmarks/schuppan/O1formula/O1formula5.negated,0.024,0.008,0.032,sat
benchmarks/schuppan/O1formula/O1formula90,0.005,0.009,0.014,unsat
benchmarks/schuppan/O1formula/O1formula500,0.008,0.021,0.029,unsat
benchmarks/schuppan/O1formula/O1formula800.negated,0.029,1.004,1.033,sat
benchmarks/schuppan/O1formula/O1formula100.negated,0.005,0.027,0.032,sat
