benchmarks/schuppan/O2formula/O2formula60,0.005,2.353,2.358,unsat
benchmarks/schuppan/O2formula/O2formula20,0.004,0.383,0.387,unsat
benchmarks/schuppan/O2formula/O2formula600,0.102,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula900.negated,0.215,5.474,5.689,sat
benchmarks/schuppan/O2formula/O2formula700,0.136,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula7,0.003,0.111,0.114,unsat
benchmarks/schuppan/O2formula/O2formula200,0.017,9.427,9.444,unsat
benchmarks/schuppan/O2formula/O2formula7.negated,0.003,0.116,0.119,sat
benchmarks/schuppan/O2formula/O2formula1000,0.263,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula800.negated,0.173,6.24,6.413,sat
benchmarks/schuppan/O2formula/O2formula6.negated,0.003,0.106,0.109,sat
benchmarks/schuppan/O2formula/O2formula30.negated,0.004,0.558,0.562,sat
benchmarks/schuppan/O2formula/O2formula20.negated,0.004,0.315,0.319,sat
benchmarks/schuppan/O2formula/O2formula5,0.003,0.081,0.084,unsat
benchmarks/schuppan/O2formula/O2formula3,0.003,0.057,0.06,unsat
benchmarks/schuppan/O2formula/O2formula100.negated,0.008,3.64,3.648,sat
benchmarks/schuppan/O2formula/O2formula400,0.05,30.458,30.508,unsat
benchmarks/schuppan/O2formula/O2formula40,0.005,1.159,1.164,unsat
benchmarks/schuppan/O2formula/O2formula10,0.003,0.152,0.155,unsat
benchmarks/schuppan/O2formula/O2formula600.negated,0.102,7.02,7.122,sat
benchmarks/schuppan/O2formula/O2formula80,0.007,3.546,3.553,unsat
benchmarks/schuppan/O2formula/O2formula200.negated,0.017,2.766,2.783,sat
benchmarks/schuppan/O2formula/O2formula9.negated,0.003,0.144,0.147,sat
benchmarks/schuppan/O2formula/O2formula80.negated,0.007,2.853,2.86,sat
benchmarks/schuppan/O2formula/O2formula50,0.005,1.66,1.665,unsat
benchmarks/schuppan/O2formula/O2formula3.negated,0.003,0.081,0.084,sat
benchmarks/schuppan/O2formula/O2formula500.negated,0.074,4.985,5.059,sat
benchmarks/schuppan/O2formula/O2formula40.negated,0.004,0.88,0.884,sat
benchmarks/schuppan/O2formula/O2formula400.negated,0.05,4.771,4.821,sat
benchmarks/schuppan/O2formula/O2formula5.negated,0.003,0.095,0.098,sat
benchmarks/schuppan/O2formula/O2formula8.negated,0.003,0.126,0.129,sat
benchmarks/schuppan/O2formula/O2formula300.negated,0.031,4.028,4.059,sat
benchmarks/schuppan/O2formula/O2formula700.negated,0.136,8.434,8.57,sat
benchmarks/schuppan/O2formula/O2formula2.negated,0.003,0.063,0.066,sat
benchmarks/schuppan/O2formula/O2formula6,0.003,0.096,0.099,unsat
benchmarks/schuppan/O2formula/O2formula2,0.003,0.05,0.053,unsat
benchmarks/schuppan/O2formula/O2formula60.negated,0.006,1.625,1.631,sat
benchmarks/schuppan/O2formula/O2formula100,0.008,3.083,3.091,unsat
benchmarks/schuppan/O2formula/O2formula500,0.074,51.062,51.136,unsat
benchmarks/schuppan/O2formula/O2formula300,0.031,17.676,17.707,unsat
benchmarks/schuppan/O2formula/O2formula4.negated,0.003,0.083,0.086,sat
benchmarks/schuppan/O2formula/O2formula90.negated,0.008,3.018,3.026,sat
benchmarks/schuppan/O2formula/O2formula9,0.003,0.139,0.142,unsat
benchmarks/schuppan/O2formula/O2formula90,0.007,4.81,4.817,unsat
benchmarks/schuppan/O2formula/O2formula30,0.004,0.678,0.682,unsat
benchmarks/schuppan/O2formula/O2formula900,0.215,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula70.negated,0.006,2.104,2.11,sat
benchmarks/schuppan/O2formula/O2formula4,0.003,0.07,0.073,unsat
benchmarks/schuppan/O2formula/O2formula50.negated,0.005,1.24,1.245,sat
benchmarks/schuppan/O2formula/O2formula8,0.003,0.121,0.124,unsat
benchmarks/schuppan/O2formula/O2formula1000.negated,0.264,6.058,6.322,sat
benchmarks/schuppan/O2formula/O2formula10.negated,0.004,0.157,0.161,sat
benchmarks/schuppan/O2formula/O2formula800,0.174,unknow,60,Killed
benchmarks/schuppan/O2formula/O2formula70,0.006,3.325,3.331,unsat
benchmarks/schuppan/phltl/phltl_100_99,0.222,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_7_6.negated,0.005,0.354,0.359,sat
benchmarks/schuppan/phltl/phltl_40_39,0.031,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_8_7,0.004,11.166,11.17,unsat
benchmarks/schuppan/phltl/phltl_4_3.negated,0.004,0.155,0.159,sat
benchmarks/schuppan/phltl/phltl_5_4.negated,0.004,0.195,0.199,sat
benchmarks/schuppan/phltl/phltl_6_5.negated,0.004,0.265,0.269,sat
benchmarks/schuppan/phltl/phltl_2_1.negated,0.004,0.086,0.09,sat
benchmarks/schuppan/phltl/phltl_2_1,0.003,0.06,0.063,unsat
benchmarks/schuppan/phltl/phltl_60_59.negated,0.071,3.883,3.954,sat
benchmarks/schuppan/phltl/phltl_20_19.negated,0.01,2.654,2.664,sat
benchmarks/schuppan/phltl/phltl_9_8,0.004,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_3_2.negated,0.003,0.114,0.117,sat
benchmarks/schuppan/phltl/phltl_10_9,0.005,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_90_89,0.174,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_70_69,0.1,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_40_39.negated,0.031,3.765,3.796,sat
benchmarks/schuppan/phltl/phltl_10_9.negated,0.005,0.742,0.747,sat
benchmarks/schuppan/phltl/phltl_80_79,0.134,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_5_4,0.004,0.222,0.226,unsat
benchmarks/schuppan/phltl/phltl_70_69.negated,0.1,5.724,5.824,sat
benchmarks/schuppan/phltl/phltl_7_6,0.004,1.77,1.774,unsat
benchmarks/schuppan/phltl/phltl_50_49,0.048,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_20_19,0.01,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_80_79.negated,0.134,7.488,7.622,sat
benchmarks/schuppan/phltl/phltl_100_99.negated,0.223,13.478,13.701,sat
benchmarks/schuppan/phltl/phltl_4_3,0.003,0.156,0.159,unsat
benchmarks/schuppan/phltl/phltl_60_59,0.07,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_50_49.negated,0.048,3.599,3.647,sat
benchmarks/schuppan/phltl/phltl_8_7.negated,0.004,0.45,0.454,sat
benchmarks/schuppan/phltl/phltl_6_5,0.004,0.475,0.479,unsat
benchmarks/schuppan/phltl/phltl_90_89.negated,0.174,9.972,10.146,sat
benchmarks/schuppan/phltl/phltl_30_29,0.018,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_9_8.negated,0.005,0.553,0.558,sat
benchmarks/schuppan/phltl/phltl_30_29.negated,0.018,2.731,2.749,sat
benchmarks/schuppan/phltl/phltl_3_2,0.003,0.084,0.087,unsat
benchmarks/schuppan/O1formula/O1formula900.negated,0.397,3.01,3.407,sat
benchmarks/schuppan/O1formula/O1formula1000.negated,0.491,3.666,4.157,sat
benchmarks/schuppan/O1formula/O1formula10.negated,0.003,0.062,0.065,sat
benchmarks/schuppan/O1formula/O1formula90.negated,0.008,0.227,0.235,sat
benchmarks/schuppan/O1formula/O1formula6.negated,0.003,0.058,0.061,sat
benchmarks/schuppan/O1formula/O1formula200,0.024,0.641,0.665,unsat
