category;total;min-clauses;max-clauses;avg-clauses;AALTAF@min-UC;AALTAF@min-UC[%];AALTAF@min-timing;AALTAF@min-timing%;TRP++@min-UC;TRP++@min-UC[%];TRP++@min-timing;TRP++@min-timing%;NuSMV-S@min-UC;NuSMV-S@min-UC[%];NuSMV-S@min-timing;NuSMV-S@min-timing%;NuSMV-B@min-UC;NuSMV-B@min-UC[%];NuSMV-B@min-timing;NuSMV-B@min-timing%;None@min-UC;None@min-UC[%];None@min-timing;None@min-timing%
;1377;1;1002;97.63;667;48.44;1261;91.58;556;40.38;0;0.00;12;0.87;8;0.58;119;8.64;85;6.17;23;1.67;23;1.67
LTL-as-LTLf/acacia/demo-v3/demo-v3:cl;11;9;49;29.00;7;63.64;11;100.00;4;36.36;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift;17;13;29;21.00;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:b;17;12;32;22.47;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:b:f;17;12;32;22.47;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:b:f:l;17;14;50;32.47;15;88.24;16;94.12;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;5.88;1;5.88
LTL-as-LTLf/alaska/lift/lift:b:l;17;14;50;32.47;14;82.35;17;100.00;3;17.65;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:f;17;13;29;21.00;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:f:l;17;15;47;31.00;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:l;17;15;47;31.00;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/anzu/amba/amba:c;17;75;351;213.47;15;88.24;15;88.24;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;2;11.76;2;11.76
LTL-as-LTLf/anzu/amba/amba:cl;17;77;369;223.47;16;94.12;16;94.12;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;5.88;1;5.88
LTL-as-LTLf/anzu/genbuf/genbuf;20;1;1;1.00;20;100.00;20;100.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/anzu/genbuf/genbuf:c;20;57;441;221.00;20;100.00;20;100.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/anzu/genbuf/genbuf:cl;20;58;461;231.50;18;90.00;18;90.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;2;10.00;2;10.00
LTL-as-LTLf/forobots;38;6;6;6.00;38;100.00;38;100.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/rozier/counter/counter;19;6;24;15.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;17;89.47;17;89.47;2;10.53;2;10.53
LTL-as-LTLf/rozier/counter/counterCarry;19;8;26;17.00;0;0.00;0;0.00;6;31.58;0;0.00;0;0.00;0;0.00;13;68.42;19;100.00;0;0.00;0;0.00
LTL-as-LTLf/rozier/counter/counterCarryLinear;19;8;8;8.00;0;0.00;0;0.00;6;31.58;0;0.00;0;0.00;0;0.00;13;68.42;19;100.00;0;0.00;0;0.00
LTL-as-LTLf/rozier/counter/counterLinear;18;6;6;6.00;0;0.00;1;5.56;0;0.00;0;0.00;0;0.00;0;0.00;18;100.00;17;94.44;0;0.00;0;0.00
LTL-as-LTLf/rozier/formulas/n;30;1;4;1.33;12;40.00;24;80.00;0;0.00;0;0.00;8;26.67;4;13.33;10;33.33;2;6.67;0;0.00;0;0.00
LTL-as-LTLf/schuppan/O1formula;27;4;1002;224.00;20;74.07;20;74.07;0;0.00;0;0.00;4;14.81;4;14.81;3;11.11;3;11.11;0;0.00;0;0.00
LTL-as-LTLf/schuppan/O2formula;27;2;1000;222.00;5;18.52;5;18.52;0;0.00;0;0.00;0;0.00;0;0.00;8;29.63;8;29.63;14;51.85;14;51.85
LTL-as-LTLf/schuppan/phltl;13;5;101;30.85;12;92.31;12;92.31;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;7.69;1;7.69
LTLf-specific/benchmarks:ltlf/LTLfRandomConjunction/C100;500;118;154;131.50;244;48.80;500;100.00;256;51.20;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTLf-specific/benchmarks:ltlf/LTLfRandomConjunction/V20;425;13;146;81.54;114;26.82;425;100.00;274;64.47;0;0.00;0;0.00;0;0.00;37;8.71;0;0.00;0;0.00;0;0.00
