dir;test;clauses;aaltafuc_unsat_core_cardinality;aaltafuc_timing;aaltafuc_terminated_OK;trppp_unsat_core_cardinality;trppp_timing;trppp_terminated_OK;ltlfuc_sat_unsat_core_cardinality;ltlfuc_sat_timing;ltlfuc_sat_terminated_OK;ltlfuc_bdd_unsat_core_cardinality;ltlfuc_bdd_timing;ltlfuc_bdd_terminated_OK;v_best_unsat_core_cardinality;v_best_timing;v_best_terminated_OK
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/rozier/formulas/n4/P0.7/L50;P0.7N4L50_9;1;2;0.00058;True;3;5000;False;-1;5.63;False;1;0.04;True;1;0.00058;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N30;95;7;0.048354;True;5;2.472;True;-1;27.45;False;-1;10000;False;5;0.048354;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/90;N43;123;7;0.031601;True;5;578.159;True;-1;77.54;False;-1;10000;False;5;0.031601;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_Gn_s1;6;2;0.006031;True;-1;10000;False;-1;10000;False;-1;10000;False;2;0.006031;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_l;lift_b_l_8;28;12;0.023399;True;-1;10000;False;-1;10000;False;-1;10000;False;12;0.023399;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_f;lift_b_f_14;27;24;0.178951;True;-1;10000;False;-1;10000;False;-1;10000;False;24;0.178951;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N40;135;7;0.027096;True;7;3.569;True;-1;59.6;False;-1;10000;False;7;0.027096;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N6;116;11;0.021004;True;6;5.706;True;-1;38.52;False;-1;10000;False;6;0.021004;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/40;N48;124;11;0.048939;True;5;2.191;True;-1;50.12;False;-1;10000;False;5;0.048939;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N5;130;7;0.019027;True;2;3.816;True;-1;35.18;False;-1;10000;False;2;0.019027;True
