benchmarks_ltlf/RespondedExistence/N340,0.041,0.586,0.627,sat
benchmarks_ltlf/RespondedExistence/N170,0.029,0.224,0.253,sat
benchmarks_ltlf/RespondedExistence/N950,0.269,2.406,2.675,sat
benchmarks_ltlf/RespondedExistence/N630,0.134,1.329,1.463,sat
benchmarks_ltlf/RespondedExistence/N130,0.037,0.133,0.17,sat
benchmarks_ltlf/RespondedExistence/N660,0.146,1.076,1.222,sat
benchmarks_ltlf/RespondedExistence/N30,0.008,0.072,0.08,sat
benchmarks_ltlf/RespondedExistence/N810,0.212,1.876,2.088,sat
benchmarks_ltlf/RespondedExistence/N560,0.096,0.674,0.77,sat
benchmarks_ltlf/RespondedExistence/N720,0.171,1.379,1.55,sat
benchmarks_ltlf/RespondedExistence/N70,0.035,0.099,0.134,sat
benchmarks_ltlf/RespondedExistence/N440,0.083,0.714,0.797,sat
benchmarks_ltlf/RespondedExistence/N680,0.166,2.404,2.57,sat
benchmarks_ltlf/RespondedExistence/N50,0.009,0.089,0.098,sat
benchmarks_ltlf/RespondedExistence/N740,0.186,1.128,1.314,sat
benchmarks_ltlf/RespondedExistence/N830,0.224,2.649,2.873,sat
benchmarks_ltlf/RespondedExistence/N760,0.191,1.374,1.565,sat
benchmarks_ltlf/RespondedExistence/N300,0.055,0.529,0.584,sat
benchmarks_ltlf/RespondedExistence/N260,0.046,0.332,0.378,sat
benchmarks_ltlf/RespondedExistence/N40,0.032,0.081,0.113,sat
benchmarks_ltlf/RespondedExistence/N590,0.125,1.351,1.476,sat
benchmarks_ltlf/RespondedExistence/N920,0.258,2.324,2.582,sat
benchmarks_ltlf/RespondedExistence/N540,0.103,0.92,1.023,sat
benchmarks_ltlf/RespondedExistence/N500,0.099,0.831,0.93,sat
benchmarks_ltlf/RespondedExistence/N790,0.2,2.448,2.648,sat
benchmarks_ltlf/RespondedExistence/N470,0.071,0.811,0.882,sat
benchmarks_ltlf/RespondedExistence/N250,0.047,0.326,0.373,sat
benchmarks_ltlf/RespondedExistence/N100,0.012,0.125,0.137,sat
benchmarks_ltlf/RespondedExistence/N120,0.031,0.17,0.201,sat
benchmarks_ltlf/RespondedExistence/N980,0.293,3.421,3.714,sat
benchmarks_ltlf/RespondedExistence/N580,0.112,0.939,1.051,sat
benchmarks_ltlf/RespondedExistence/N460,0.085,1,1.085,sat
benchmarks_ltlf/RespondedExistence/N200,0.04,0.248,0.288,sat
benchmarks_ltlf/RespondedExistence/N890,0.227,2.119,2.346,sat
benchmarks_ltlf/RespondedExistence/N610,0.112,1.024,1.136,sat
benchmarks_ltlf/RespondedExistence/N530,0.11,0.795,0.905,sat
benchmarks_ltlf/RespondedExistence/N1000,0.282,2.979,3.261,sat
benchmarks_ltlf/RespondedExistence/N880,0.221,2.755,2.976,sat
benchmarks_ltlf/RespondedExistence/N730,0.175,2.025,2.2,sat
benchmarks_ltlf/RespondedExistence/N970,0.267,1.641,1.908,sat
benchmarks_ltlf/RespondedExistence/N150,0.015,0.174,0.189,sat
benchmarks_ltlf/RespondedExistence/N780,0.189,1.7,1.889,sat
benchmarks_ltlf/RespondedExistence/N230,0.044,0.346,0.39,sat
benchmarks_ltlf/RespondedExistence/N350,0.06,0.484,0.544,sat
benchmarks_ltlf/RespondedExistence/N860,0.213,3.255,3.468,sat
benchmarks_ltlf/RespondedExistence/N570,0.099,1.338,1.437,sat
